Data,Info,Valor,Info1,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Info9,Info10
2018-11-30,imoveis_dormitorio_2_sp,"12.151,00",imoveis,dormitorio,2,sp,,,,,,
2019-03-31,imoveis_implantacao_condominio_mg,"3.066,00",imoveis,implantacao,condominio,mg,,,,,,
2021-07-31,imoveis_valor_avaliacao_ac,"221.000,00",imoveis,valor,avaliacao,ac,,,,,,
2019-09-30,imoveis_dormitorio_1_pa,"39,00",imoveis,dormitorio,1,pa,,,,,,
2020-01-31,imoveis_tipo_casa_sc,"1.678,00",imoveis,tipo,casa,sc,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_ms,"11,00",imoveis,dormitorio,4,mais,ms,,,,,
2018-11-30,imoveis_dormitorio_2_to,"132,00",imoveis,dormitorio,2,to,,,,,,
2019-03-31,imoveis_implantacao_condominio_ms,"301,00",imoveis,implantacao,condominio,ms,,,,,,
2021-07-31,imoveis_valor_avaliacao_al,"152.400,00",imoveis,valor,avaliacao,al,,,,,,
2019-09-30,imoveis_dormitorio_1_pb,"51,00",imoveis,dormitorio,1,pb,,,,,,
2020-01-31,imoveis_tipo_casa_se,"294,00",imoveis,tipo,casa,se,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_mt,"22,00",imoveis,dormitorio,4,mais,mt,,,,,
2018-11-30,imoveis_dormitorio_3_ac,"12,00",imoveis,dormitorio,3,ac,,,,,,
2019-03-31,imoveis_implantacao_condominio_mt,"358,00",imoveis,implantacao,condominio,mt,,,,,,
2021-07-31,imoveis_valor_avaliacao_am,"182.000,00",imoveis,valor,avaliacao,am,,,,,,
2019-09-30,imoveis_dormitorio_1_pe,"130,00",imoveis,dormitorio,1,pe,,,,,,
2020-01-31,imoveis_tipo_casa_sp,"11.147,00",imoveis,tipo,casa,sp,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_pa,"3,00",imoveis,dormitorio,4,mais,pa,,,,,
2018-11-30,imoveis_dormitorio_3_al,"111,00",imoveis,dormitorio,3,al,,,,,,
2019-03-31,imoveis_implantacao_condominio_pa,"163,00",imoveis,implantacao,condominio,pa,,,,,,
2021-07-31,imoveis_valor_avaliacao_ap,"277.500,00",imoveis,valor,avaliacao,ap,,,,,,
2019-09-30,imoveis_dormitorio_1_pi,"4,00",imoveis,dormitorio,1,pi,,,,,,
2020-01-31,imoveis_tipo_casa_to,"68,00",imoveis,tipo,casa,to,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_pb,"25,00",imoveis,dormitorio,4,mais,pb,,,,,
2018-11-30,imoveis_dormitorio_3_am,"84,00",imoveis,dormitorio,3,am,,,,,,
2019-03-31,imoveis_implantacao_condominio_pb,"726,00",imoveis,implantacao,condominio,pb,,,,,,
2021-07-31,imoveis_valor_avaliacao_ba,"164.540,00",imoveis,valor,avaliacao,ba,,,,,,
2019-09-30,imoveis_dormitorio_1_pr,"465,00",imoveis,dormitorio,1,pr,,,,,,
2020-02-29,imoveis_tipo_apartamento_ac,"16,00",imoveis,tipo,apartamento,ac,,,,,,
