Data,Info,Valor,Info1,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Info9,Info10
2019-03-31,imoveis_implantacao_isolado_pr,"2.927,00",imoveis,implantacao,isolado,pr,,,,,,
2021-08-31,imoveis_valor_avaliacao_es,"272.000,00",imoveis,valor,avaliacao,es,,,,,,
2019-09-30,imoveis_dormitorio_2_ro,"190,00",imoveis,dormitorio,2,ro,,,,,,
2020-02-29,imoveis_tipo_casa_ap,"10,00",imoveis,tipo,casa,ap,,,,,,
2018-02-28,imoveis_dormitorio_1_ro,"10,00",imoveis,dormitorio,1,ro,,,,,,
2018-11-30,imoveis_dormitorio_4_mais_es,"20,00",imoveis,dormitorio,4,mais,es,,,,,
2019-03-31,imoveis_implantacao_isolado_rj,"1.010,00",imoveis,implantacao,isolado,rj,,,,,,
2021-08-31,imoveis_valor_avaliacao_go,"170.000,00",imoveis,valor,avaliacao,go,,,,,,
2019-09-30,imoveis_dormitorio_2_rr,"35,00",imoveis,dormitorio,2,rr,,,,,,
2020-02-29,imoveis_tipo_casa_ba,"1.004,00",imoveis,tipo,casa,ba,,,,,,
2018-02-28,imoveis_dormitorio_1_rr,"14,00",imoveis,dormitorio,1,rr,,,,,,
